date_time,total_inbound,total_outbound
NULL,406998417408.0,1713965236224.0
NULL,393755721728.0,1665593507840.0
NULL,396483493888.0,1673663873024.0
NULL,393784262656.0,1658063683584.0
NULL,382941724672.0,1622542516224.0
NULL,374780264448.0,1600528318464.0
NULL,370733973504.0,1566026891264.0
NULL,367099019264.0,1545799860224.0
NULL,361998483456.0,1528681988096.0
NULL,355888398336.0,1504513228800.0
NULL,348962717696.0,1484019990528.0
NULL,346384760832.0,1468182953984.0
NULL,341075558400.0,1444558798848.0
NULL,330554736640.0,1406825660416.0
NULL,331064967168.0,1389038534656.0
NULL,329274851328.0,1357168246784.0
NULL,321569128448.0,1333432025088.0
NULL,310922215424.0,1293433569280.0
NULL,306176983040.0,1274100711424.0
NULL,297585344512.0,1235513901056.0
NULL,293242929152.0,1208336384000.0
NULL,287211945984.0,1187918774272.0
NULL,282110722048.0,1164077170688.0
NULL,277250932736.0,1131263688704.0
NULL,270500102144.0,1104681500672.0
NULL,265448521728.0,1088827228160.0
NULL,260702650368.0,1043289800704.0
NULL,251901100032.0,1014469820416.0
NULL,246658793472.0,983023222784.0
NULL,239679455232.0,960516128768.0
NULL,233923493888.0,932742299648.0
NULL,224900775936.0,915268239360.0
NULL,221399646208.0,889846824960.0
NULL,216003723264.0,857387433984.0
NULL,213694070784.0,837174755328.0
NULL,208991993856.0,827008221184.0
NULL,208216326144.0,833152024576.0
NULL,202753703936.0,814946254848.0
NULL,198720569344.0,796914548736.0
NULL,192216530944.0,775869497344.0
NULL,185058738176.0,751652765696.0
NULL,181904916480.0,741590171648.0
NULL,178640650240.0,733952933888.0
NULL,175821881344.0,718726692864.0
NULL,173339131904.0,706139521024.0
NULL,168419557376.0,694489579520.0
NULL,163920822272.0,677955960832.0
NULL,162639167488.0,668875161600.0
NULL,159078940672.0,661159018496.0
NULL,154444955648.0,647513636864.0
NULL,151360471040.0,629185118208.0
NULL,149108883456.0,617459089408.0
NULL,145525407744.0,602029883392.0
NULL,144319479808.0,588691406848.0
NULL,142096351232.0,577309769728.0
NULL,137512648704.0,567866163200.0
NULL,136365301760.0,564214890496.0
NULL,133041782784.0,553498574848.0
NULL,131034562560.0,538778664960.0
NULL,127887450112.0,524266045440.0
NULL,125490855936.0,513133084672.0
NULL,125560373248.0,511728451584.0
NULL,123722358784.0,510751375360.0
NULL,122790871040.0,503309041664.0
NULL,118390947840.0,497759518720.0
NULL,120470364160.0,496839032832.0
NULL,121234538496.0,490088595456.0
NULL,118990495744.0,485745491968.0
NULL,116488110080.0,478398808064.0
NULL,114267815936.0,467952762880.0
NULL,109386915840.0,461708296192.0
NULL,108498288640.0,458780737536.0
NULL,107139366912.0,450773254144.0
NULL,105304571904.0,444073967616.0
NULL,103723319296.0,447056248832.0
NULL,102745210880.0,449602813952.0
NULL,101169930240.0,451459514368.0
NULL,100074610688.0,450157805568.0
NULL,101538897920.0,445110288384.0
NULL,100804927488.0,445635985408.0
NULL,100044275712.0,442787102720.0
NULL,100430643200.0,445875093504.0
NULL,85077737472.0,398983593984.0
NULL,87287545856.0,413259563008.0
NULL,105650274304.0,457784983552.0
NULL,105909657600.0,456981643264.0
NULL,107077451776.0,466682314752.0
NULL,106391420928.0,472886870016.0
NULL,106452803584.0,471380000768.0
NULL,109278470144.0,487220314112.0
NULL,109439459328.0,485115330560.0
NULL,111453667328.0,500500398080.0
NULL,112746340352.0,509161865216.0
NULL,114366603264.0,518970310656.0
NULL,116576428032.0,524742230016.0
NULL,122930585600.0,554132832256.0
NULL,125315227648.0,558704295936.0
NULL,128258834432.0,575447236608.0
NULL,131644563456.0,585026306048.0
NULL,136488738816.0,597782626304.0
NULL,139929485312.0,613456805888.0
NULL,145528946688.0,616036171776.0
NULL,148602142720.0,622726414336.0
NULL,150909108224.0,643819503616.0
NULL,154924761088.0,655298199552.0
NULL,157543612416.0,666437812224.0
NULL,144521216000.0,631891820544.0
NULL,150727671808.0,661551448064.0
NULL,168273444864.0,695105683456.0
NULL,172303630336.0,707515973632.0
NULL,175973957632.0,723485982720.0
NULL,179437797376.0,740199301120.0
